127.0.0.1 - - [16/Sep/2018:21:14:10 -0300] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [16/Sep/2018:21:14:58 -0300] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [16/Sep/2018:21:14:58 -0300] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [16/Sep/2018:21:14:58 -0300] "GET /tomcat.css HTTP/1.1" 200 5581
0:0:0:0:0:0:0:1 - - [16/Sep/2018:21:14:58 -0300] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [16/Sep/2018:21:14:58 -0300] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [16/Sep/2018:21:14:58 -0300] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
0:0:0:0:0:0:0:1 - - [16/Sep/2018:21:14:58 -0300] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [16/Sep/2018:21:14:58 -0300] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [16/Sep/2018:21:14:58 -0300] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/Sep/2018:21:15:05 -0300] "GET / HTTP/1.1" 200 11286
